Date,Close,Open,High,Low,Volume,Change %
2/25/2021,14423.00,14902.00,15355.00,14122.00,43440,-3.40%
2/26/2021,14930.00,16216.00,16279.00,13760.00,64950,-7.82%
2/27/2021,16196.00,17163.00,17176.00,15726.00,30840,-5.62%
2/28/2021,17161.00,16911.00,17252.00,16251.00,29610,1.44%
3/1/2021,16917.00,15159.00,17101.00,14769.00,54630,11.59%
3/2/2021,15160.00,15150.00,15390.00,14064.00,46470,0.03%
3/3/2021,15155.00,14713.00,15428.00,14522.00,38350,3.03%
3/4/2021,14709.80,13448.00,15300.00,12810.00,56180,10.15%
3/5/2021,13354.00,13794.00,13893.00,12787.00,29540,-3.23%
3/6/2021,13800.00,12385.00,14140.00,12183.90,43290,11.50%
3/7/2021,12377.00,14308.00,14403.00,11690.00,75430,-13.55%
3/8/2021,14317.00,14323.00,15105.00,13847.00,48010,0.01%
3/9/2021,14315.00,15374.00,15467.00,13232.00,72890,-6.89%
3/10/2021,15374.00,15680.00,16494.00,14463.00,54990,-1.95%
3/11/2021,15679.00,13627.00,16048.00,13550.00,63440,15.09%
3/12/2021,13623.00,13517.00,14278.00,12678.00,45610,1.09%
3/13/2021,13476.00,14036.00,14047.00,11601.20,72380,-3.98%
3/14/2021,14035.00,13173.00,14986.00,12755.00,59920,6.57%
3/15/2021,13170.00,15650.00,15826.00,10718.00,179000,-15.94%
3/16/2021,15666.80,16433.00,17333.00,14827.00,65580,-4.62%
3/17/2021,16425.00,17340.00,17709.00,15500.00,82160,-5.30%
3/18/2021,17345.00,18931.00,18987.00,16500.00,66650,-8.39%
3/19/2021,18934.00,18959.00,19171.00,18010.00,53580,-0.20%
3/20/2021,18971.00,19210.00,19891.00,18622.00,51800,-1.13%
3/21/2021,19187.00,17569.50,19548.00,17098.00,48270,9.50%
3/22/2021,17522.00,16396.00,18098.00,16352.00,63110,6.95%
3/23/2021,16383.00,16122.00,16999.00,15870.00,45720,1.25%
3/24/2021,16181.00,17010.00,17288.00,15674.00,62880,-4.63%
3/25/2021,16967.00,16754.00,17500.00,16234.00,52090,1.27%
3/26/2021,16754.00,14937.00,17443.00,14937.00,78090,11.72%
3/27/2021,14997.00,14660.00,15728.00,12748.00,107050,2.30%
3/28/2021,14660.00,15829.00,16300.00,13021.00,77820,-7.62%
3/29/2021,15869.00,16608.00,17160.00,13774.00,124110,-4.41%
3/30/2021,16601.00,13500.00,16639.00,13154.00,141260,22.72%
3/31/2021,13527.00,11590.00,13598.00,11590.00,83590,16.66%
4/1/2021,11595.00,11611.00,11949.00,11414.00,48940,0.00%
4/2/2021,11595.00,11162.00,11598.00,10788.00,63740,3.93%
4/3/2021,11157.00,10880.00,11842.00,10299.00,93060,2.54%
4/4/2021,10881.00,10852.00,11187.00,10627.00,49710,0.11%
4/5/2021,10869.00,9907.00,10949.00,9370.10,84140,9.71%
4/6/2021,9907.00,9771.90,10540.00,8821.00,129070,1.62%
4/7/2021,9749.40,9891.90,11427.20,9001.10,182740,-1.50%
4/8/2021,9898.00,9727.10,9977.80,9608.30,47110,1.74%
4/9/2021,9728.80,9303.90,9760.70,9268.90,66660,4.43%
4/10/2021,9316.00,8791.00,9495.00,8769.20,67570,6.27%
4/11/2021,8766.20,8191.60,8770.00,8132.90,44250,7.01%
4/12/2021,8191.60,7977.00,8350.70,7873.00,42850,2.69%
4/13/2021,7977.10,8230.00,8267.60,7977.10,32100,-3.07%
4/14/2021,8230.10,8097.30,8310.00,8064.30,28860,1.64%
4/15/2021,8097.30,8245.10,8380.00,7790.00,71850,-1.79%
4/16/2021,8245.10,8052.80,8310.20,7943.40,38280,2.37%
4/17/2021,8054.20,7770.60,8126.90,7652.00,39130,3.61%
4/18/2021,7773.30,7674.10,7867.00,7419.50,40700,1.24%
4/19/2021,7677.90,7865.00,8029.80,7511.10,75950,-2.37%
4/20/2021,7864.20,7273.70,8012.90,7099.90,85880,8.05%
4/21/2021,7278.30,6589.90,7310.20,6589.90,71610,10.63%
4/22/2021,6579.20,6476.50,6687.80,6315.40,49520,1.62%
4/23/2021,6474.60,5806.50,6680.00,5786.10,110440,11.21%
4/24/2021,5822.10,6282.40,6465.00,5426.00,172690,-7.60%
4/25/2021,6300.70,6541.20,6788.00,6166.00,72840,-3.69%
4/26/2021,6542.20,7123.30,7313.10,6405.20,88430,-8.20%
4/27/2021,7126.20,7447.00,7447.00,7017.60,50140,-4.25%
4/28/2021,7442.40,7102.00,7895.00,7029.90,97300,4.77%
4/29/2021,7103.30,6959.60,7214.40,6959.00,37540,2.13%
4/30/2021,6955.00,7355.10,7429.50,6915.10,63270,-5.78%
5/1/2021,7382.00,7370.90,7595.00,7272.00,46290,0.18%
5/2/2021,7369.00,7104.00,7521.10,6936.50,48620,1.24%
5/3/2021,7278.40,7018.90,7447.50,6926.50,64150,3.68%
5/4/2021,7019.90,6735.00,7315.10,6724.50,97450,4.35%
5/5/2021,6727.30,6450.20,6727.30,6348.00,57130,4.17%
5/6/2021,6458.30,6129.90,6472.10,6082.70,38760,5.44%
5/7/2021,6125.30,6146.00,6237.20,6010.00,33260,-0.50%
5/8/2021,6156.00,5718.10,6330.00,5662.90,61920,7.61%
5/9/2021,5720.60,5759.80,5863.90,5634.70,26660,-0.68%
5/10/2021,5759.60,5890.00,6010.20,5681.20,39710,-2.21%
5/11/2021,5890.00,5724.20,5966.60,5680.50,42720,2.97%
5/12/2021,5720.00,5509.90,5743.90,5367.90,44800,3.82%
5/13/2021,5509.50,5902.50,5902.50,5457.50,64030,-6.73%
5/14/2021,5906.90,5980.50,6051.00,5639.80,67060,-1.23%
5/15/2021,5980.50,6005.10,6069.60,5717.90,50580,-0.41%
5/16/2021,6005.10,5984.90,6190.00,5873.60,53520,0.34%
5/17/2021,5984.50,5694.00,6082.20,5606.40,61780,5.10%
5/18/2021,5694.00,5574.80,5741.00,5505.80,38040,2.32%
5/19/2021,5565.00,5597.70,5597.90,5114.30,69040,-0.57%
5/20/2021,5597.10,5764.80,5779.00,5511.00,31910,-2.90%
5/21/2021,5764.40,5712.20,5803.20,5570.40,31410,1.15%
5/22/2021,5698.60,5838.70,5876.90,5450.00,57340,-2.34%
5/23/2021,5835.00,5636.80,5854.30,5567.30,36810,3.52%
5/24/2021,5636.80,5440.00,5874.30,5376.00,99150,3.84%
5/25/2021,5428.50,4824.90,5437.60,4815.10,79260,12.51%
5/26/2021,4824.90,4777.70,4879.50,4715.00,28920,1.00%
5/27/2021,4777.00,4782.30,4940.00,4717.50,42680,-0.11%
5/28/2021,4782.30,4612.40,4874.90,4551.30,48930,3.67%
5/29/2021,4613.10,4435.90,4630.00,4417.60,29860,3.99%
5/30/2021,4436.00,4370.00,4477.10,4316.10,17410,1.49%
5/31/2021,4371.00,4312.60,4424.50,4294.00,25940,1.29%
6/1/2021,4315.40,4215.90,4364.60,4134.90,25360,2.38%
6/2/2021,4215.10,4310.60,4353.80,4177.70,26370,-2.23%
6/3/2021,4311.10,4399.30,4439.90,4222.00,28540,-2.02%
